Company Name,Published Date,Location,Skills Required,Job Description,Apply link
Industrybuying,Posted 4 days ago,Delhi,"Cloud,Python,Linux,Mysql,Shellscripting","AWS ExpertKey Skills Required:Elastic Cloud  ( ec2 ) Elastic load balancer  ( ELB ) S3 ,  EBS ,  Auto Scaling , CloudFrontLoad BalancingMySQL Replication setupApplication Moni... More Details
",https://www.timesjobs.com/job-detail/aws-expert-industrybuying-delhi-0-to-3-yrs-jobid-__SLASH__BpQ8aWO905zpSvf__PLUS__uAgZw==&source=srp
rubixe,Posted 1 day ago,Bengaluru / Bangalore,"Python,Java,.Net,Visualbasic,Perl","Robotic Process Automation  ( RPA ) Job Description: Number Of Openings:10Sr. Developers / Leads -4Experience Level: 1.5- 9 yrs.Skills required: RPA tools- Automation Anywhere... More Details
",https://www.timesjobs.com/job-detail/robotic-process-automation-rpa-rubixe-bengaluru-bangalore-5-to-9-yrs-jobid-3TyINVFdsZtzpSvf__PLUS__uAgZw==&source=srp
NIPPON DATA SYSTEM,Posted 2 days ago,"Delhi,  Delhi/NCR","C,Python,C,Ece,Database,Perl","Job Description : Self dependent development and maintenance of RF  &  Analog technology libraries using the ADS  &  RFDE to support RF IC foundries by designing  &  developin... More Details
",https://www.timesjobs.com/job-detail/pdk-consultant-nippon-data-system-delhi-delhi-ncr-0-to-2-yrs-jobid-cQH16WGoiwtzpSvf__PLUS__uAgZw==&source=srp
Wafer Space,Posted 1 day ago,Bengaluru / Bangalore,"Python,C,Bluetooth,Debugging,Bluetoothlowenergy","Bluetooth Developer  &  Testing Bangalore ,  IndiaDesired Skills and Experience-Good knowledge of Bluetooth ( BDR / EDR )  and BLE.Very strong debugging / problem-solving expe... More Details
",https://www.timesjobs.com/job-detail/bluetooth-developer-testing-wafer-space-bengaluru-bangalore-0-to-3-yrs-jobid-x5tTbfoSukRzpSvf__PLUS__uAgZw==&source=srp
PaGaLGuY,Posted 1 day ago,Mumbai,"Python,Github,Git,Html5,Mvc,Javascript","Front-end EngineerAn engineer / perfectionist with a fast keyboard ,  ready to take on entire features.What Youll Do: Build the next cool thing on PaGaLGuYAnd improve the exis... More Details
",https://www.timesjobs.com/job-detail/front-end-engineer-pagalguy-mumbai-0-to-3-yrs-jobid-s4JxrUPQK4NzpSvf__PLUS__uAgZw==&source=srp
PUBLICIS GROUPE,Posted 2 days ago,"Gurgaon,  Mumbai,  Pune,  Bengaluru / Bangalore","Sql,Cloudcomputing,Python,Machinelearning","Leads a team of data scientist at various levels of seniority.Coaches team members and manages team development.Engages in knowledge transfer to team members.Partners with oth... More Details
",https://www.timesjobs.com/job-detail/business-manager-data-ops-publicis-groupe-gurgaon-mumbai-pune-bengaluru-bangalore-0-to-3-yrs-jobid-rTpMHv6__PLUS__YO5zpSvf__PLUS__uAgZw==&source=srp
e-con systems india pvt.ltd.,Posted 2 days ago,Chennai,"C,Python,C,Ece,Windows,Imaging,Linux","Skillsets:What you will do:Provide technical support engineer to Customers via Ticketing portal or e-mail.Applies technical knowledge to analyse ,  troubleshoot and resolve an... More Details
",https://www.timesjobs.com/job-detail/technical-support-engineer-e-con-systems-india-pvt-ltd-chennai-2-to-6-yrs-jobid-slnwRCwvR8FzpSvf__PLUS__uAgZw==&source=srp
NIPPON DATA SYSTEM,Posted 2 days ago,"Delhi,  Delhi/NCR","C,Python,Mobile,Git,Bigdata","Job Description : The PathWave Software Solutions division of Keysight is a leader in Electronic Design Automation  ( EDA )  and empowers advanced electronic design for mobile... More Details
",https://www.timesjobs.com/job-detail/c-software-enginer-nippon-data-system-delhi-delhi-ncr-8-to-11-yrs-jobid-uTrU4WOIE9ZzpSvf__PLUS__uAgZw==&source=srp
Cotocus,Posted 3 days ago,Bengaluru / Bangalore,"Python,Javascript,Docker,Security,Java,Php","Job Description The cloud security engineer specializes in providing security for cloud-based digital platforms and plays an integral role in protecting an organization's data... More Details
",https://www.timesjobs.com/job-detail/cloud-security-engineer-cotocus-bengaluru-bangalore-0-to-3-yrs-jobid-Xi4Hg0MFbIVzpSvf__PLUS__uAgZw==&source=srp
Cotocus,Posted 3 days ago,Bengaluru / Bangalore,"Python,Orchestration,Windows,Docker,Java,Infrastructure,Linux","Job Description Senior Ansible Development Engineer has work on IT automation engine that automates cloud provisioning ,  configuration management ,  application deployment , ... More Details
",https://www.timesjobs.com/job-detail/senior-ansible-development-engineer-cotocus-bengaluru-bangalore-0-to-3-yrs-jobid-FnojgxrTPM1zpSvf__PLUS__uAgZw==&source=srp
Cotocus,Posted 3 days ago,Bengaluru / Bangalore,"Python,Orchestration,Windows,Docker,Java,Infrastructure,Unix","Job Description Ansible Automation Engineer has work on IT automation engine that automates cloud provisioning ,  configuration management ,  application deployment ,  intra-s... More Details
",https://www.timesjobs.com/job-detail/ansible-automation-engineer-cotocus-bengaluru-bangalore-0-to-3-yrs-jobid-LMQswYwqoJtzpSvf__PLUS__uAgZw==&source=srp
